CustomerID,Lookalikes
C0001,"[('C0026', 0.9999997126524279), ('C0035', 0.9999996526397997), ('C0050', 0.9999995604758339)]"
C0002,"[('C0159', 0.999999428399236), ('C0134', 0.9999990807760359), ('C0133', 0.9999987226935538)]"
C0003,"[('C0031', 0.9999996510444149), ('C0195', 0.999999647103348), ('C0008', 0.9999993287869826)]"
C0004,"[('C0119', 0.9999997884388571), ('C0047', 0.9999997688432251), ('C0012', 0.9999997651370783)]"
C0005,"[('C0007', 0.9999999106704517), ('C0127', 0.9999998136538929), ('C0163', 0.9999996038195375)]"
C0006,"[('C0185', 0.99999992879642), ('C0082', 0.999999893442035), ('C0135', 0.9999998624874139)]"
C0007,"[('C0005', 0.9999999106704517), ('C0127', 0.9999999043054355), ('C0163', 0.9999997887057974)]"
C0008,"[('C0149', 0.9999996892313024), ('C0106', 0.99999961256046), ('C0093', 0.9999995923726335)]"
C0009,"[('C0198', 0.999999994634276), ('C0129', 0.9999994709671018), ('C0092', 0.9999993665439627)]"
C0010,"[('C0176', 0.9999969524017858), ('C0111', 0.9999961882707571), ('C0034', 0.9999949546283002)]"
C0011,"[('C0016', 0.9999997502268497), ('C0117', 0.9999997274131991), ('C0074', 0.9999997235958691)]"
C0012,"[('C0065', 0.9999998942386475), ('C0116', 0.9999998607195865), ('C0148', 0.9999998194959785)]"
C0013,"[('C0156', 0.9999998771912778), ('C0099', 0.9999998341312004), ('C0117', 0.9999998254874736)]"
C0014,"[('C0097', 0.9999945819675473), ('C0025', 0.9999933262133461), ('C0110', 0.9999930130193988)]"
C0015,"[('C0052', 0.9999997807115906), ('C0076', 0.9999996380028926), ('C0025', 0.9999995588689343)]"
C0016,"[('C0117', 0.9999999413250914), ('C0074', 0.99999992472822), ('C0099', 0.999999890127689)]"
C0017,"[('C0075', 0.9999998845615363), ('C0177', 0.9999998101255434), ('C0064', 0.9999998091797635)]"
C0018,"[('C0125', 0.9999997472168385), ('C0064', 0.9999997454284894), ('C0035', 0.9999997411513729)]"
C0019,"[('C0070', 0.9999995598518265), ('C0186', 0.9999994531224701), ('C0191', 0.9999991562818378)]"
C0020,"[('C0120', 0.999999468690942), ('C0069', 0.9999982740070887), ('C0157', 0.9999979705913231)]"
